["2024-07-23 17:00:02", 0.8, 2.5]
["2024-07-25 22:00:03", 1.05, 2.5]
["2024-07-26 16:26:44", 0.7, 2.5]
["2024-07-30 22:34:04", 1.05, 2.5]
["2024-07-31 21:54:09", 0, 2.5]
["2024-08-01 22:24:10", 1.15, 2.5]
["2024-08-02 23:49:57", 2.15, 2.5]
["2024-08-03 19:39:16", 0.5, 2.5]
["2024-08-05 09:12:02", 0, 2.5]
["2024-08-12 22:03:31", 1.05, 2.5]
["2024-08-13 12:26:57", 0, 2.5]
["2024-08-14 22:46:52", 1.2, 2.5]
["2024-08-15 15:16:40", 0.7, 2.5]
["2024-08-21 23:52:25", 1.15, 2.5]
["2024-08-22 14:55:15", 0.25, 2.5]
["2024-08-26 23:18:38", 0.8, 2.5]
["2024-08-27 10:10:21", 0, 2.5]
